,CarModel,AgeOfCar,Price,OdoMeterReading,Fuel_Type,DealingType,GearSystem,NoOfOwners,CarCompany,Scalled_Price,Scaled_OdoMeterReading,Fuel_Type_le,DealingType_le,GearSystem_le,NoOfOwners_le,CarCompany_le
159,Volkswagen Polo 1.5 TDI Highline,9,562500.0,84000,Diesel,Direct Owner,Manual,Second Owner,Volkswagen,0.04842342342342342,0.2955531407160608,1,1,1,2,27
160,Maruti Vitara Brezza ZDi Plus Dual Tone,5,1225000.0,14000,Diesel,Direct Owner,Manual,First Owner,Maruti,0.1081081081081081,-1.2053454213235502,1,1,1,0,18
161,Toyota Yaris G,5,1062500.0,23107,Petrol,Trustmark Broker,Manual,First Owner,Toyota,0.09346846846846846,-1.0100785184021968,4,2,1,0,26
162,Honda Amaze VX O iDTEC,6,687500.0,16997,Diesel,Broker,Manual,First Owner,Honda,0.059684684684684686,-1.1410855214602258,1,0,1,0,9
163,Toyota Innova 2.5 G (Diesel) 8 Seater,8,1063750.0,57652,Diesel,Broker,Manual,First Owner,Toyota,0.09358108108108107,-0.26938507803564876,1,0,1,0,26
164,Fiat Grande Punto EVO 1.3 Dynamic,9,406250.0,74000,Diesel,Direct Owner,Manual,First Owner,Fiat,0.03434684684684685,0.08113906042468783,1,1,1,0,6
166,Maruti 800 DX,20,75000.0,39000,Petrol,Direct Owner,Manual,First Owner,Maruti,0.004504504504504504,-0.6693102205951177,4,1,1,0,18
167,Renault KWID RXT,5,450000.0,30500,Petrol,Direct Owner,Manual,First Owner,Renault,0.038288288288288286,-0.8515621888427848,4,1,1,0,23
168,Hyundai Verna 1.6 SX CRDi (O),10,775000.0,74000,Diesel,Direct Owner,Manual,Second Owner,Hyundai,0.06756756756756756,0.08113906042468783,1,1,1,2,10
169,Hyundai EON 1.0 Era Plus,4,500000.0,9000,Petrol,Direct Owner,Manual,First Owner,Hyundai,0.04279279279279279,-1.3125524614692368,4,1,1,0,10
170,Volkswagen Jetta 1.9 TDI Trendline,14,1175000.0,144000,Diesel,Direct Owner,Manual,First Owner,Volkswagen,0.10360360360360359,1.582037622464299,1,1,1,0,27
171,Honda BR-V i-VTEC VX MT,6,1050000.0,34646,Petrol,Broker,Manual,First Owner,Honda,0.09234234234234233,-0.7626661111539815,4,0,1,0,9
172,Volkswagen Polo Diesel Trendline 1.2L,12,218750.0,94000,Diesel,Direct Owner,Manual,Third Owner,Volkswagen,0.017454954954954954,0.5099672210074339,1,1,1,4,27
173,Maruti Swift ZXI Plus,5,750000.0,34000,Petrol,Direct Owner,Manual,First Owner,Maruti,0.0653153153153153,-0.7765172607408042,4,1,1,0,18
174,Hyundai EON Era Plus,11,250000.0,50000,Petrol,Direct Owner,Manual,First Owner,Hyundai,0.020270270270270268,-0.4334547322746074,4,1,1,0,10
175,Maruti A-Star Vxi,14,137500.0,114000,Petrol,Direct Owner,Manual,Fourth & Above Owner,Maruti,0.010135135135135134,0.9387953815901798,4,1,1,1,18
